industry,y,x,n_obs,alpha,beta,eg_adf_stat,eg_adf_pvalue,eg_adf_cv_1%,eg_adf_cv_5%,eg_adf_cv_10%,coint_tstat,coint_pvalue,coint_cv_1%,coint_cv_5%,coint_cv_10%,resid_std
火力发电,000543.SZ,600011.SH,970,0.6349033677501494,0.4521021849738929,-1.3860755821557098,0.5889331557039752,-3.4372015433243797,-2.8645648359053517,-2.568380590610461,-1.3944047050950152,0.7994247239186971,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.12770160635540093
火力发电,600023.SH,600863.SH,970,0.861447285865085,0.35961695908186275,-1.3686380841149663,0.5972156824614888,-3.43722314744835,-2.8645743628401763,-2.5683856650361054,-1.3745484521281883,0.8061040946035112,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.09651027473571927
火力发电,600023.SH,600578.SH,970,0.3083037542734388,0.8790405532485943,-1.3576177642733056,0.6024177358269027,-3.4371305002986277,-2.864533507042016,-2.5683639036818957,-1.3610233381625556,0.8105608665890922,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.09532136867859559
火力发电,600023.SH,600157.SH,966,1.1670181273690876,0.10243522842839559,-1.279843123749217,0.6383429205855623,-3.437151658028634,-2.8645428373470563,-2.5683688733406793,-1.2820377699967433,0.835090219230554,-3.9078251222851623,-3.3424690367526644,-3.048847946790518,0.1294534750290098
火力发电,600027.SH,600098.SH,969,0.37404620478358963,0.5495251287443617,-1.2041673417537015,0.67180046241317,-3.437123476942836,-2.8645304098119544,-2.568362253987091,-1.2053134838495079,0.8565041183568468,-3.9077897265811763,-3.3424493683406187,-3.048834307765863,0.2898025473621775
火力发电,000543.SZ,600098.SH,970,0.943082618187852,0.287728149612556,-1.140882651763821,0.6984961959595841,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.142455161506632,0.8723322320706624,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.18750570689018944
火力发电,600027.SH,600157.SH,965,1.038359988984549,0.6249333934374715,-1.107511310821734,0.7120672043896604,-3.4372015433243797,-2.8645648359053517,-2.568380590610461,-1.1107475633346195,0.8797507790435073,-3.90783696996436,-3.342475620125342,-3.048852512009091,0.28556863003059313
火力发电,000539.SZ,600098.SH,970,0.133447770235396,0.8111860070977707,-1.0633639550779153,0.7294587086046728,-3.4371943720994165,-2.8645616735407002,-2.568378906211183,-1.0633392517372815,0.8901608290892882,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.21876288785294412
火力发电,000543.SZ,600021.SH,970,0.3034397335630832,0.5314596702712309,-1.0014100885657213,0.7527496564115397,-3.4371305002986277,-2.864533507042016,-2.5683639036818957,-1.004873733302452,0.9019189759979152,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.15971316151172557
火力发电,600023.SH,601991.SH,970,0.7554556444571521,0.4921019602252874,-0.9615687078742561,0.7670219889370533,-3.437123476942836,-2.8645304098119544,-2.568362253987091,-0.964704592005222,0.9093393993922556,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.10379502350740347
火力发电,000543.SZ,601991.SH,970,0.7470382169481287,0.7375559650278327,-0.8514595197493116,0.8035371645710949,-3.4371305002986277,-2.864533507042016,-2.5683639036818957,-0.8557771367211343,0.9269687661753222,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1494698423494329
火力发电,600011.SH,600098.SH,970,-0.4410266119571804,1.302274502295171,-0.8231052983191484,0.8122406739692876,-3.43725945868569,-2.8645903751292536,-2.5683941938438886,-0.8313182797240124,0.9304619640364027,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2813035192157555
火力发电,600023.SH,600098.SH,970,0.38537737234395275,0.4890404334144389,-0.7641558918802049,0.8294249795964186,-3.437137538234527,-2.8645366106945414,-2.568365556798649,-0.7697853895132324,0.9385602497750626,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.12011240680858769
火力发电,001286.SZ,600795.SH,179,2.567081466591076,-0.30737148626178323,-0.7919436692074532,0.8214771066819673,-3.4698858990744115,-2.8789026251889647,-2.5760266680839004,-0.7687255122746662,0.9386914518074179,-3.9590256962504737,-3.370671749779068,-3.068362814038631,0.08963644828111794
火力发电,001286.SZ,600023.SH,179,1.5300400667774738,0.4484658800069617,-0.6614412827629849,0.85648596660547,-3.470616369591229,-2.8792214018977655,-2.57619681359045,-0.4906363567882328,0.9649915453196403,-3.9590256962504737,-3.370671749779068,-3.068362814038631,0.0859646726007439
火力发电,001286.SZ,600863.SH,179,1.8861857424166781,0.24150760480464808,-0.19984095414258626,0.9385405726168106,-3.4698858990744115,-2.8789026251889647,-2.5760266680839004,-0.15369016926925672,0.9816158362530525,-3.9590256962504737,-3.370671749779068,-3.068362814038631,0.08988668066798285
煤炭开采,600925.SH,601918.SH,186,2.121842716916715,-0.2833684112160805,-9.57876792438171,2.1869734375220262e-16,-3.4662005731940853,-2.8772932777920364,-2.575167750182615,-9.533502870471176,3.78046919721134e-15,-3.956619065010957,-3.3693569247626,-3.0674548794740684,0.031323615187185676
