industry,y,x,n_obs,alpha,beta,eg_adf_stat,eg_adf_pvalue,eg_adf_cv_1%,eg_adf_cv_5%,eg_adf_cv_10%,coint_tstat,coint_pvalue,coint_cv_1%,coint_cv_5%,coint_cv_10%,resid_std,hl_days,rho,kappa,n_hl
化学制药,000963.SZ,300573.SZ,970,2.054091960731693,0.3793233534906171,-1.7776727115325317,0.3916015484402546,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.7785521435448446,0.6400803841452452,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2457557055393541,108.79314557622565,0.9936490138642213,-0.006350986135778718,969
化学制药,002001.SZ,002294.SZ,970,2.6241277653714556,0.0936388091773909,-1.772179099891129,0.3943588272390038,-3.4371729482129885,-2.864552225996954,-2.568373874086242,-1.7723986244868988,0.6430295931433068,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1653647495521323,80.21245281001113,0.9913958383460912,-0.00860416165390878,969
化学制药,002294.SZ,603259.SH,970,2.202256942693104,0.2462323055018089,-1.7709973093393838,0.3949527894041857,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.7722209903430408,0.643114574549593,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2019594950735982,111.28399828858522,0.9937907247546772,-0.00620927524532283,969
化学制药,600521.SH,603259.SH,970,2.7791835891984737,0.0580633147605407,-1.7686217252050258,0.3961476085703168,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.7696398749815776,0.6443484176886799,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2401051095034957,101.51807250378293,0.9931954360665287,-0.0068045639334712435,969
化学制药,002422.SZ,600521.SH,970,3.525438458394964,-0.1659964160944711,-1.7605000256300436,0.4002410531411063,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.7617694521113063,0.6480992661650382,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1855765806802711,96.45131336016964,0.9928392630261114,-0.007160736973888658,969
化学制药,300759.SZ,600521.SH,970,3.0972391016893788,0.2300096650948968,-1.750736305546848,0.4051791955761418,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.751320163636956,0.6530520842271395,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.3797348037094055,136.34255139338066,0.9949290355649988,-0.005070964435001168,969
化学制药,000963.SZ,002001.SZ,970,2.7857510090203377,0.2396067542251962,-1.742233637118452,0.409494214784614,-3.437123476942836,-2.8645304098119544,-2.568362253987091,-1.743167266347095,0.6568945563402376,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2672724173395553,128.96487827558087,0.9946397205627551,-0.005360279437244968,969
化学制药,603259.SH,688506.SH,239,4.8471166118114235,-0.1235581385437616,-1.7325151153737903,0.4144423411536749,-3.458128284586202,-2.873761835239286,-2.5732834559706235,-1.7361803250650087,0.6601719450693878,-3.943048276251677,-3.3619231431396086,-3.0623181872749097,0.1098759487572798,27.262481506895817,0.9748955438696427,-0.025104456130357295,238
化学制药,300573.SZ,600380.SH,970,1.506368166763019,0.9144777949838734,-1.7248665598143305,0.4183481546927062,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.7274387432425369,0.6642518001610906,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2687515782171066,83.4907876896442,0.9917322873093071,-0.008267712690692932,969
化学制药,002262.SZ,300558.SZ,970,3.961113524525688,-0.2723456706448641,-1.7183076386138552,0.4217053703578147,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.719757358307564,0.667817638294179,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2770845244521466,119.60490364872166,0.9942214530229513,-0.0057785469770487135,969
化学制药,600062.SH,688578.SH,749,4.949282424366611,-0.6979228178562178,-1.7160335639716555,0.4228710103541529,-3.439134355513998,-2.865416893922985,-2.56883447171999,-1.7191729260614332,0.6680881983835573,-3.911141500257371,-3.344310777617318,-3.050124914924647,0.2457068826497746,83.89714846654952,0.9917721672651669,-0.008227832734833103,748
化学制药,000963.SZ,603259.SH,970,2.065483248915437,0.3190471844265863,-1.711380103482392,0.4252588491383375,-3.4372087295925664,-2.8645680048962348,-2.568382278540291,-1.7124012179762138,0.6712153798051825,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2561107995990039,134.1815908629997,0.994847579717054,-0.005152420282946072,969
化学制药,000963.SZ,300759.SZ,970,2.8082747332916647,0.1792095174428043,-1.7000397832559777,0.4310919794547147,-3.437123476942836,-2.8645304098119544,-2.568362253987091,-1.701220486806421,0.6763470574612498,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2613384618403498,131.8170501235638,0.9947553981337528,-0.005244601866247181,969
化学制药,300573.SZ,600079.SH,960,2.055848359945699,0.5595086832292828,-1.6973528523013577,0.4324768805386623,-3.43718721587049,-2.8645585177815187,-2.568377225331392,-1.6997076435403653,0.6770383551463401,-3.9078965801620345,-3.342508743172904,-3.048875481009176,0.2638084901793666,84.3925539191157,0.9918202686257721,-0.008179731374227887,959
化学制药,600196.SH,600380.SH,970,1.9068375755138216,0.7053750440774733,-1.6963712492153495,0.4329830816340098,-3.437180074590612,-2.864555368607133,-2.5683755479600694,-1.6994400086291637,0.67716057509034,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2676537867789954,155.81034716340235,0.9955612211318868,-0.004438778868113185,969
化学制药,002422.SZ,600062.SH,970,2.232464651563758,0.3006639095170786,-1.697743635245493,0.4322753972593487,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.6988559179790117,0.6774272298141637,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1711787550126245,104.70045488606674,0.9934015776803964,-0.0065984223196036106,969
化学制药,300759.SZ,600380.SH,970,3.08513794345478,0.2857268469241422,-1.6616993429049502,0.4509462444990004,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.662285873548817,0.6938992645607696,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.3817623567380406,146.38529983409876,0.995276105508949,-0.0047238944910510455,969
化学制药,002262.SZ,600521.SH,970,3.4701535347437353,-0.2220712622862257,-1.6485338875840194,0.4578051576750487,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.6499389767699069,0.6993586752687946,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2877292781813771,135.9286069503574,0.9949136322577461,-0.005086367742253869,969
化学制药,300558.SZ,600196.SH,970,2.0568805867129747,0.6071113586441559,-1.6347414359631791,0.4650098452914512,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.6355927997922957,0.705635423737792,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.299559846922951,127.94776726464096,0.9945972247466941,-0.0054027752533058505,969
